Observation #,Code,Food name in English,Nom d’aliment en français,"Weight of ingredients (edible portion, raw) / Poids des ingrédients (parte comestible, cru) (g)",Yield factor / Factor de rendement,Method,Méthode
,12_019,"Water, tap",Eau du robinet,510.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",32.0,,,
,04_012,"Eggplant, fruit, raw","Aubergine, fruit, cru",183.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",47.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",67.0,,,
1,14_011,Koum vând zéédo (Burkina Faso)*: wild eggplant leaf sauce with fish and vegetables,Koum vând zéédo (Burkina Faso)*: sauce de feuilles d’aubergine sauvage avec poisson et légumes,,0.5270518493779744,"Boil the eggplant and amaranth leaves. Fry the sliced tomato with a small amount of the onion. Add the crushed garlic and pepper. Then add the rest of the onion, the fish, water, salt, chilli and stock cube, and simmer until cooked.","Faire bouillir l’aubergine et les feuilles d’amaranthe. Faire frire les tomates coupées en tranches avec une petite quantité d’oignon. Ajouter l’ail écrasé et le poivre. Ensuite ajouter le reste de l’oignon, le poisson, l’eau, le sel, le piment et le bouillon-cube, et terminer la cuisson à feu doux"
,13_015,Salt,Sel,3.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",43.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",6.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",7.0,,,
,12_019,"Water, tap",Eau du robinet,364.0,,,
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",79.0,,,
,04_013,"Eggplant, leaves, fresh, raw","Aubergine, feuilles, fraîches, crues",75.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",124.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",101.0,,,
,13_014,"Pepper, black","Poivre, noir",1.16,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",150.0,,,
2,14_011,Koum vând zéédo (Burkina Faso)*: wild eggplant leaf sauce with fish and vegetables,Koum vând zéédo (Burkina Faso)*: sauce de feuilles d’aubergine sauvage avec poisson et légumes,,0.5447259253292521,"Boil the eggplant and amaranth leaves. Fry the sliced tomato with a small amount of the onion. Add the crushed garlic and pepper. Then add the rest of the onion, the fish, water, salt, chilli and stock cube, and simmer until cooked.","Faire bouillir l’aubergine et les feuilles d’amaranthe. Faire revenir les tomates coupées en tranches avec une petite quantité d’oignon. Ajouter l’ail écrasé et le poivre. Ensuite ajouter le reste de l’oignon, le poisson, l’eau, le sel, le piment et le bouillon-cube, et terminer la cuisson à feu doux"
,13_015,Salt,Sel,3.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",49.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",7.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",9.0,,,
,12_019,"Water, tap",Eau du robinet,377.0,,,
,04_023,"Amaranth, leaves, fresh, raw","Amaranthe, feuilles, fraîches, crues",98.0,,,
,04_013,"Eggplant, leaves, fresh, raw","Aubergine, feuilles, fraîches, crues",87.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",76.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",84.0,,,
,13_014,"Pepper, black","Poivre, noir",1.16,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",197.0,,,
1,14_007,Koum zindo (Burkina Faso)*: eggplant sauce with fish and vegetables,Koum zindo (Burkina Faso)*: sauce aubergine avec poisson et légumes,,0.6444874896230374,"Cut the eggplant into cubes and squeeze well to remove the seeds. Cut the onion, pepper and tomato into thin slices. Fry the fish, then fry the various ingredients and the previously crushed garlic. Add the water, stock cube and bay leaves and simmer until cooked.","Couper l’aubergine en cubes et presser fortement pour faire sortir les graines. Émincer l’oignon, le poivre et les tomates. Faire frire le poisson, puis faire revenir les divers ingrédients et l’ail préalablement écrasé. Ajouter l’eau, le bouillon-cube et les feuilles de laurier et laisser cuire à feu doux."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",30.0,,,
,13_015,Salt,Sel,3.08,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",114.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",111.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",7.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",5.0,,,
,13_014,"Pepper, black","Poivre, noir",1.055,,,
,12_019,"Water, tap",Eau du robinet,255.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",26.0,,,
,04_012,"Eggplant, fruit, raw","Aubergine, fruit, cru",255.0,,,
,04_005,"Cabbage, white, raw","Chou, blanc, cru",84.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",7.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",88.0,,,
,04_006,"Carrot, raw","Carotte, crue",31.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.135,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",98.0,,,
2,14_007,Koum zindo (Burkina Faso)*: eggplant sauce with fish and vegetables,Koum zindo (Burkina Faso)*: sauce aubergine avec poisson et légumes,,0.6638402320651567,"Cut the eggplant into cubes and squeeze well to remove the seeds. Cut the onion, pepper and tomato into thin slices. Fry the fish, then fry the various ingredients and the previously crushed garlic. Add the water, stock cube and bay leaves and simmer until cooked.","Couper l’aubergine en cubes et presser pour retirer les graines. Émincer l’oignon, le poivre et les tomates. Faire frire le poisson, puis faire revenir les divers ingrédients et l’ail préalablement écrasé. Ajouter l’eau, le bouillon-cube et les feuilles de laurier et laisser cuire à feu doux."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",30.0,,,
,13_015,Salt,Sel,2.6,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",77.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",56.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",4.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",8.0,,,
,13_014,"Pepper, black","Poivre, noir",1.24,,,
,12_019,"Water, tap",Eau du robinet,255.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_049,"Pepper, sweet, green, fresh, raw","Poivron vert, frais, cru",29.0,,,
,04_012,"Eggplant, fruit, raw","Aubergine, fruit, cru",120.0,,,
,04_005,"Cabbage, white, raw","Chou, blanc, cru",93.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",6.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",75.0,,,
,04_006,"Carrot, raw","Carotte, crue",36.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.46,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",98.0,,,
1,14_018,"Maân koèg zéindo-1 (Burkina Faso)*: djoumblé (dried okra) sauce with beef, vegetables and red palm oil","Maân koèg zéindo-1 (Burkina Faso)*: sauce djoumblé (gombo séché) avec bœuf, légumes et huile de palme rouge",,0.6302021403091558,"Boil the onion, tomato and meat, then add the red palm oil. Remove the cooked tomato and onion, mash and add back to the dish with the dried okra powder, stock cube and salt. Simmer until cooked.","Faire bouillir l’oignon, la tomate et la viande, puis ajouter l’huile de palme rouge. Retirer la tomate et l’oignon cuits, écraser et remettre dans le plat avec la poudre d’gombo séché, le bouillon-cube et le sel. Laisser cuire à feu doux."
,13_015,Salt,Sel,2.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",9.0,,,
,12_019,"Water, tap",Eau du robinet,500.0,,,
,04_077,"Okra, fruit, dried","Gombo, fruit, séché",30.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",35.0,,,
,07_002,"Beef meat, moderately fat, ca. 20% fat, raw","Viande de bœuf, teneur modérée en matière grasse (env. 20%), crue",164.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",57.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",39.0,,,
2,14_018,"Maân koèg zéindo-1 (Burkina Faso)*: djoumblé (dried okra) sauce with beef, vegetables and red palm oil","Maân koèg zéindo-1 (Burkina Faso)*: sauce djoumblé (gombo séché) avec bœuf, légumes et huile de palme rouge",,0.6337078651685393,"Boil the onion, tomato and meat, then add the red palm oil. Remove the cooked tomato and onion, mash and add back to the dish with the dried okra powder, stock cube and salt. Simmer until cooked.","Faire bouillir l’oignon, la tomate et la viande, puis ajouter l’huile de palme rouge. Retirer la tomate et l’oignon cuits, écraser et remettre dans le plat avec la poudre d’gombo séché, le bouillon-cube et le sel. Laisser cuire à feu doux."
,13_015,Salt,Sel,2.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",12.0,,,
,12_019,"Water, tap",Eau du robinet,570.0,,,
,04_077,"Okra, fruit, dried","Gombo, fruit, séché",23.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",38.0,,,
,07_002,"Beef meat, moderately fat, ca. 20% fat, raw","Viande de bœuf, teneur modérée en matière grasse (env. 20%), crue",129.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",63.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",48.0,,,
1,14_017,"Maân koèg zéindo-2 (Burkina Faso)*: dried okra sauce with lamb, vegetables and fermented African locust beans","Maân koèg zéindo-2 (Burkina Faso)*: sauce gombo séché avec agneau, légumes et néré fermenté (soumbala)",,0.6268886179292795,"Cut the tomato, onion and mutton and crush the soumbala and chilli. Fry the meat, tomato and onion, then add water and let it boil. Add the other ingredients and simmer until cooked.","Couper la  tomate, l’oignon et le mouton et écraser le soumbala et le piment. Faire revenir la viande, la tomate et l’oignon, puis ajouter l’eau et laisser bouillir. Ajouter les autres ingrédients et laisser cuire à feux doux."
,13_015,Salt,Sel,2.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,13_006,"Chilli pepper, dried","Piment rouge, séché",1.75,,,
,12_019,"Water, tap",Eau du robinet,461.0,,,
,04_077,"Okra, fruit, dried","Gombo, fruit, séché",25.0,,,
,13_024,"Potash, solid","Potasse, solide",0.77,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",7.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",38.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",87.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",67.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",60.0,,,
1,14_019,"Maân mâass zéindo (Burkina Faso)*: fresh okra sauce with fish, vegetables, red palm oil and fermented African locust beans","Maân mâass zéindo (Burkina Faso)*: sauce gombo frais avec poisson, légumes, huile de palme rouge et néré fermenté (soumbala)",,0.5062961354754668,"Bring the water to boil with the fish, onion, tomato and garlic, then add the red palm oil. Remove the ingredients, along with some water, and mash all (except the fish) together with the chilli pepper. Put this back in the pot and add the diced okra, leaves, soumbala and potash. Let soften and add the fish, stock cube and salt to the paste obtained. Simmer until cooked.","Porter l’eau à ébullition avec le poisson, l’oignon, la tomate et l’ail, puis ajouter l’huile de palme rouge. Retirer les ingrédients, avec un peu d’eau et écraser le tout (sauf le poisson) avec le piment. Remettre le tout dans la casserole et ajouter l’gombo en dés, les feuilles, le soumbala et la potasse. Laisser gonfler et ajouter le poisson, le bouillon-cube et le sel à la pâte obtenue. Laisser cuire à feu doux."
,13_015,Salt,Sel,3.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,13_006,"Chilli pepper, dried","Piment rouge, séché",1.0,,,
,12_019,"Water, tap",Eau du robinet,800.0,,,
,04_017,"Okra, fruit, fresh, raw","Gombo, fruit, frais, cru",87.0,,,
,04_004,"Okra, leaves, fresh, raw","Gombo, feuilles, fraîches, crues",60.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",7.0,,,
,13_024,"Potash, solid","Potasse, solide",1.5,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",5.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",25.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",65.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",42.0,,,
2,14_019,"Maân mâass zéindo (Burkina Faso)*: fresh okra sauce with fish, vegetables, red palm oil and fermented African locust beans","Maân mâass zéindo (Burkina Faso)*: sauce gombo frais avec poisson, légumes, huile de palme rouge et néré fermenté (soumbala)",,0.4027777777777778,"Bring the water to boil with the fish, onion, tomato and garlic, then add the red palm oil. Remove the ingredients, along with some water, and mash all (except the fish) together with the chilli pepper. Put this back in the pot and add the diced okra, leaves, soumbala and potash. Let soften and add the fish, stock cube and salt to the paste obtained. Simmer until cooked.","Porter l’eau à ébullition avec le poisson, l’oignon, la tomate et l’ail, puis ajouter l’huile de palme rouge. Retirer les ingrédients, avec un peu d’eau et écraser le tout (sauf le poisson) avec le piment. Remettre le tout dans la casserole et ajouter l’gombo en dés, les feuilles, le soumbala et la potasse. Laisser gonfler et ajouter le poisson, le bouillon-cube et le sel à la pâte obtenue. Laisser cuire à feu doux."
,13_015,Salt,Sel,5.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,13_006,"Chilli pepper, dried","Piment rouge, séché",2.0,,,
,12_019,"Water, tap",Eau du robinet,1100.0,,,
,04_017,"Okra, fruit, fresh, raw","Gombo, fruit, frais, cru",104.0,,,
,04_004,"Okra, leaves, fresh, raw","Gombo, feuilles, fraîches, crues",53.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",5.0,,,
,13_024,"Potash, solid","Potasse, solide",2.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",4.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",25.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",68.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",25.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",42.0,,,
1,14_009,"Nayoungn vand zindo (Burkina Faso)*: sweet potato leaf sauce, fish, red palm oil and vegetables","Nayoungn vand zindo (Burkina Faso)*: sauce de feuilles de patate douce avec poisson, huile de palme rouge et légumes",,0.6378227494766224,"Boil the chopped leaves and crush after cooking, then fry with pieces of tomato, onion, garlic and pepper. Add the water, fish, stock cube and other ingredients. Simmer until cooked.","Faire bouillir les feuilles hachées et, une fois cuites, les broyer puis les faire revenir avec des morceaux de tomate, d’oignon, d’ail et le poivre. Ajouter l’eau, le poisson, le bouillon-cube et les autres ingrédients. Laisser cuire à feu doux."
,13_015,Salt,Sel,2.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",147.0,,,
,04_059,"Sweet potato, leaves, fresh, raw","Patate douce, feuilles, fraîches, crues",153.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",50.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",7.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",6.0,,,
,13_014,"Pepper, black","Poivre, noir",0.5,,,
,12_019,"Water, tap",Eau du robinet,247.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",40.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",59.0,,,
2,14_009,"Nayoungn vand zindo (Burkina Faso)*: sweet potato leaf sauce, fish, red palm oil and vegetables","Nayoungn vand zindo (Burkina Faso)*: sauce de feuilles de patate douce avec poisson, huile de palme rouge et légumes",,0.6437258973598339,"Boil the chopped leaves and crush after cooking, then fry with pieces of tomato, onion, garlic and pepper. Add the water, fish, stock cube and other ingredients. Simmer until cooked.","Faire bouillir les feuilles hachées et, une fois cuites, les broyer puis les faire revenir avec des morceaux de tomate, d’oignon, d’ail et le poivre. Ajouter l’eau, le poisson, le bouillon-cube et les autres ingrédients. Laisser cuire à feu doux."
,13_015,Salt,Sel,2.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",110.0,,,
,04_059,"Sweet potato, leaves, fresh, raw","Patate douce, feuilles, fraîches, crues",160.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",70.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",3.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",7.0,,,
,13_014,"Pepper, black","Poivre, noir",0.2,,,
,12_019,"Water, tap",Eau du robinet,192.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_004,"Palm oil, red","Huile de palme, rouge",64.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",61.0,,,
1,14_002,"Pésgo né tomate zéindo (Burkina Faso)*: sauce with lamb, tomato and vegetables","Pésgo né tomate zéindo (Burkina Faso)*: sauce avec agneau, tomate et légumes",,0.47052154195011336,"Cut the fresh tomato, squash, onion and meat into small slices and fry in the oil with the tomato paste, garlic and crushed parsley. Add the water, salt, stock cube and chilli and cook.","Couper la tomate fraîche, la courge, l’oignon et la viande en fines tranches et faire revenir dans l’huile avec le concentré de tomate, l’ail et le persil haché. Ajouter l’eau, le sel, le bouillon-cube et le piment, et laisser cuire."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",20.0,,,
,13_015,Salt,Sel,3.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",100.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",90.0,,,
,04_051,"Pumpkin, squash, light orange flesh, raw","Courge, chair orange clair, crue",145.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",4.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",6.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",3.0,,,
,12_019,"Water, tap",Eau du robinet,410.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",50.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",46.0,,,
2,14_002,"Pésgo né tomate zéindo (Burkina Faso)*: sauce with lamb, tomato and vegetables","Pésgo né tomate zéindo (Burkina Faso)*: sauce avec agneau, tomate et légumes",,0.5813664596273292,"Cut the fresh tomato, squash, onion and meat into small slices and fry in the oil with the tomato paste, garlic and crushed parsley. Add the water, salt, stock cube and chilli and cook.","Couper la tomate fraîche, la courge, l’oignon et la viande en fines tranches et faire revenir dans l’huile avec le concentré de tomate, l’ail et le persil haché. Ajouter l’eau, le sel, le bouillon-cube et le piment, et laisser cuire."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",20.0,,,
,13_015,Salt,Sel,4.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",150.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",70.0,,,
,04_051,"Pumpkin, squash, light orange flesh, raw","Courge, chair orange clair, crue",95.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",3.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",4.0,,,
,12_019,"Water, tap",Eau du robinet,360.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",22.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",68.0,,,
3,14_002,"Pésgo né tomate zéindo (Burkina Faso)*: sauce with lamb, tomato and vegetables","Pésgo né tomate zéindo (Burkina Faso)*: sauce avec agneau, tomate et légumes",,0.46382189239332094,"Cut the fresh tomato, squash, onion and meat into small slices and fry in the oil with the tomato paste, garlic and crushed parsley. Add the water, salt, stock cube and chilli and cook.","Couper la tomate fraîche, la courge, l’oignon et la viande en fines tranches et faire revenir dans l’huile avec le concentré de tomate, l’ail et le persil haché. Ajouter l’eau, le sel, le bouillon-cube et le piment, et laisser cuire."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",20.0,,,
,13_015,Salt,Sel,3.0,,,
,07_004,"Lamb/mutton meat, moderately fat, ca. 20% fat, raw","Viande d’agneau/mouton, teneur modérée en matière grasse (env. 20%), crue",165.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",68.0,,,
,04_051,"Pumpkin, squash, light orange flesh, raw","Courge, chair orange clair, crue",160.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",6.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_045,"Parsley, fresh, raw","Persil, frais, cru",6.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",58.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",73.0,,,
1,14_006,"Siikam zéédo (Burkina Faso)*: groundnut sauce with vegetables, fish and fermented African locust beans","Siikam zéédo (Burkina Faso)*: sauce d’arachide avec poisson, légumes et néré fermenté (soumbala)",,0.6340541675414655,"Fry the fish in the red palm oil, then the onion cut into strips. Add the tomato paste, spinach and a little water and let simmer for a few minutes. Add the water and other ingredients and simmer.","Faire revenir le poisson dans l’huile de palme rouge, puis l’oignon coupé en tranches. Ajouter le concentré de tomate, les épinards et un peu d’eau et laisser mijoter quelques minutes. Ajouter l’eau et les autres ingrédients et laisser mijoter."
,13_015,Salt,Sel,3.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",0.25,,,
,11_004,"Palm oil, red","Huile de palme, rouge",27.0,,,
,04_005,"Cabbage, white, raw","Chou, blanc, cru",80.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",38.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",4.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.35,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",5.0,,,
,04_057,"Spinach, leaves, fresh, raw","Épinard, feuilles, fraîches, crues",85.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",5.0,,,
,04_131,"Green leafy vegetable, average, fresh, raw","Légumes-feuilles verts, non spécifiés, frais, crus",25.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",15.0,,,
,04_012,"Eggplant, fruit, raw","Aubergine, fruit, cru",50.0,,,
,06_026,"Groundnut paste, from groundnuts only","Arachide, pâte pure",75.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",30.0,,,
2,14_006,"Siikam zéédo (Burkina Faso)*: groundnut sauce with vegetables, fish and fermented African locust beans","Siikam zéédo (Burkina Faso)*: sauce d’arachide avec poisson, légumes et néré fermenté (soumbala)",,0.5663608562691131,"Fry the fish in the red palm oil, then the onion cut into strips. Add the tomato paste, spinach and a little water and let simmer for a few minutes. Add the water and other ingredients and simmer.","Faire revenir le poisson dans l’huile de palme rouge, puis l’oignon coupé en tranches. Ajouter le concentré de tomate, les épinards et un peu d’eau et laisser mijoter quelques minutes. Ajouter l’eau et les autres ingrédients et laisser mijoter."
,13_015,Salt,Sel,2.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",0.25,,,
,11_004,"Palm oil, red","Huile de palme, rouge",20.0,,,
,04_005,"Cabbage, white, raw","Chou, blanc, cru",25.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",43.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",4.0,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.25,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",4.0,,,
,04_057,"Spinach, leaves, fresh, raw","Épinard, feuilles, fraîches, crues",63.0,,,
,03_042,"African locust bean, fermented (soumbala)","Néré, fermenté (soumbala)",5.0,,,
,04_131,"Green leafy vegetable, average, fresh, raw","Légumes-feuilles verts, non spécifiés, frais, crus",25.0,,,
,12_019,"Water, tap",Eau du robinet,510.0,,,
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",15.0,,,
,04_012,"Eggplant, fruit, raw","Aubergine, fruit, cru",30.0,,,
,06_026,"Groundnut paste, from groundnuts only","Arachide, pâte pure",50.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",21.0,,,
1,14_028,Siné zindo (Burkina Faso)*: sesame sauce with fish and vegetables,Siné zindo (Burkina Faso)*: sauce sésame avec poisson et légumes,,0.3226289268430593,"Heat the sesame seeds and crush to a paste. Fry the cut onion and tomato with the crushed pepper and garlic. Add the tomato paste, then the water, salt, stock cube, bay leaves and fish. Boil, then add the sesame paste. Simmer until cooked.","Chauffer les graines de sésame et les réduire en purée. Faire revenir les morceaux d’oignon et de tomate avec le poivre et l’ail hachés. Ajouter le concentré de tomate, puis l’eau, le sel, le bouillon-cube, les feuilles de laurier et le poisson. Faire bouillir, puis ajouter la pâte de sésame. Laisser cuire à feu doux."
,04_066,"Tomato paste, concentrated, without salt","Concentré de tomate, sans sel",30.0,,,
,13_015,Salt,Sel,2.958,,,
,13_014,"Pepper, black","Poivre, noir",1.88,,,
,04_081,"Bay, leaves, dried","Laurier, feuilles, séchées",0.402,,,
,12_019,"Water, tap",Eau du robinet,2000.0,,,
,13_008,"Cube, beef, dry","Bouillon-cube, bœuf, sec",5.0,,,
,06_015,"Sesame seed, whole, dried, raw","Sésame, graines complètes, séchées, crues",125.0,,,
,09_003,"Mackerel, fillet, raw","Maquereau, filet, cru",85.0,,,
,04_046,"Pepper, chilli, fresh, raw","Piment, frais, cru",8.0,,,
,04_015,"Garlic, flesh, raw","Ail, chair, cru",6.0,,,
,04_021,"Tomato, red, ripe, raw","Tomate, rouge, mûre, crue",50.0,,,
,11_010,"Vegetable oil, unfortified","Huile végétale, non enrichie",45.0,,,
,04_018,"Onion, fresh, raw","Oignon, frais, cru",46.0,,,
